分區,分區名,場次,試場,應試號碼起,應試號碼迄,應試號碼數
2501,(一)新北市立板橋高中,1,0334,41033401,41033436,36
2501,(一)新北市立板橋高中,1,0335,41033501,41033536,36
2501,(一)新北市立板橋高中,1,0336,41033601,41033636,36
2501,(一)新北市立板橋高中,1,0337,41033701,41033736,36
2501,(一)新北市立板橋高中,1,0338,41033801,41033836,36
2501,(一)新北市立板橋高中,1,0339,41033901,41033936,36
2501,(一)新北市立板橋高中,1,0340,41034001,41034036,36
2501,(一)新北市立板橋高中,1,0341,41034101,41034136,36
2501,(一)新北市立板橋高中,1,0342,41034201,41034236,36
2501,(一)新北市立板橋高中,1,0343,41034301,41034336,36
2501,(一)新北市立板橋高中,1,0344,41034401,41034436,36
2501,(一)新北市立板橋高中,1,0345,41034501,41034536,36
2501,(一)新北市立板橋高中,1,0346,41034601,41034636,36
2501,(一)新北市立板橋高中,1,0347,41034701,41034736,36
2501,(一)新北市立板橋高中,1,0348,41034801,41034836,36
2501,(一)新北市立板橋高中,1,0349,41034901,41034936,36
2501,(一)新北市立板橋高中,1,0350,41035001,41035036,36
2501,(一)新北市立板橋高中,1,0351,41035101,41035136,36
2501,(一)新北市立板橋高中,1,0352,41035201,41035236,36
2501,(一)新北市立板橋高中,1,0353,41035301,41035336,36
2501,(一)新北市立板橋高中,1,0354,41035401,41035436,36
2501,(一)新北市立板橋高中,1,0355,41035501,41035536,36
2501,(一)新北市立板橋高中,1,0356,41035601,41035636,36
2501,(一)新北市立板橋高中,1,0357,41035701,41035736,36
2501,(一)新北市立板橋高中,1,0358,41035801,41035836,36
2501,(一)新北市立板橋高中,1,0359,41035901,41035936,36
2501,(一)新北市立板橋高中,1,0360,41036001,41036036,36
2501,(一)新北市立板橋高中,1,0361,41036101,41036136,36
2501,(一)新北市立板橋高中,1,0362,41036201,41036236,36
2501,(一)新北市立板橋高中,1,0363,41036301,41036336,36
2501,(一)新北市立板橋高中,1,0364,41036401,41036436,36
2501,(一)新北市立板橋高中,1,0365,41036501,41036536,36
2501,(一)新北市立板橋高中,1,0366,41036601,41036636,36
2501,(一)新北市立板橋高中,1,0367,41036701,41036736,36
2501,(一)新北市立板橋高中,1,0368,41036801,41036836,36
2501,(一)新北市立板橋高中,1,0369,41036901,41036936,36
2501,(一)新北市立板橋高中,1,9009,41900901,41900907,7
2501,(一)新北市立板橋高中,2,0334,42033401,42033436,36
2501,(一)新北市立板橋高中,2,0335,42033501,42033536,36
2501,(一)新北市立板橋高中,2,0336,42033601,42033636,36
2501,(一)新北市立板橋高中,2,0337,42033701,42033736,36
2501,(一)新北市立板橋高中,2,0338,42033801,42033836,36
2501,(一)新北市立板橋高中,2,0339,42033901,42033936,36
2501,(一)新北市立板橋高中,2,0340,42034001,42034036,36
2501,(一)新北市立板橋高中,2,0341,42034101,42034136,36
2501,(一)新北市立板橋高中,2,0342,42034201,42034236,36
2501,(一)新北市立板橋高中,2,0343,42034301,42034336,36
2501,(一)新北市立板橋高中,2,0344,42034401,42034436,36
2501,(一)新北市立板橋高中,2,0345,42034501,42034536,36
2501,(一)新北市立板橋高中,2,0346,42034601,42034636,36
2501,(一)新北市立板橋高中,2,0347,42034701,42034736,36
2501,(一)新北市立板橋高中,2,0348,42034801,42034836,36
2501,(一)新北市立板橋高中,2,0349,42034901,42034936,36
2501,(一)新北市立板橋高中,2,0350,42035001,42035036,36
2501,(一)新北市立板橋高中,2,0351,42035101,42035136,36
2501,(一)新北市立板橋高中,2,0352,42035201,42035236,36
2501,(一)新北市立板橋高中,2,0353,42035301,42035336,36
2501,(一)新北市立板橋高中,2,0354,42035401,42035436,36
2501,(一)新北市立板橋高中,2,0355,42035501,42035536,36
2501,(一)新北市立板橋高中,2,0356,42035601,42035636,36
2501,(一)新北市立板橋高中,2,0357,42035701,42035736,36
2501,(一)新北市立板橋高中,2,0358,42035801,42035836,36
2501,(一)新北市立板橋高中,2,0359,42035901,42035936,36
2501,(一)新北市立板橋高中,2,0360,42036001,42036036,36
2501,(一)新北市立板橋高中,2,0361,42036101,42036136,36
2501,(一)新北市立板橋高中,2,0362,42036201,42036236,36
2501,(一)新北市立板橋高中,2,0363,42036301,42036336,36
2501,(一)新北市立板橋高中,2,0364,42036401,42036436,36
2501,(一)新北市立板橋高中,2,0365,42036501,42036536,36
2501,(一)新北市立板橋高中,2,0366,42036601,42036636,36
2501,(一)新北市立板橋高中,2,0367,42036701,42036736,36
2501,(一)新北市立板橋高中,2,0368,42036801,42036837,37
2501,(一)新北市立板橋高中,2,9009,42900901,42900907,7
2502,(二)國立華僑高中,1,0370,41037001,41037036,36
2502,(二)國立華僑高中,1,0371,41037101,41037136,36
2502,(二)國立華僑高中,1,0372,41037201,41037236,36
2502,(二)國立華僑高中,1,0373,41037301,41037336,36
2502,(二)國立華僑高中,1,0374,41037401,41037436,36
2502,(二)國立華僑高中,1,0375,41037501,41037536,36
2502,(二)國立華僑高中,1,0376,41037601,41037636,36
2502,(二)國立華僑高中,1,0377,41037701,41037736,36
2502,(二)國立華僑高中,1,0378,41037801,41037836,36
2502,(二)國立華僑高中,1,0379,41037901,41037936,36
2502,(二)國立華僑高中,1,0380,41038001,41038036,36
2502,(二)國立華僑高中,1,0381,41038101,41038136,36
2502,(二)國立華僑高中,1,0382,41038201,41038236,36
2502,(二)國立華僑高中,1,0383,41038301,41038336,36
2502,(二)國立華僑高中,1,0384,41038401,41038436,36
2502,(二)國立華僑高中,1,0385,41038501,41038536,36
2502,(二)國立華僑高中,1,0386,41038601,41038636,36
2502,(二)國立華僑高中,1,0387,41038701,41038736,36
2502,(二)國立華僑高中,1,0388,41038801,41038836,36
2502,(二)國立華僑高中,1,0389,41038901,41038936,36
2502,(二)國立華僑高中,1,0390,41039001,41039036,36
2502,(二)國立華僑高中,1,0391,41039101,41039136,36
2502,(二)國立華僑高中,1,0392,41039201,41039236,36
2502,(二)國立華僑高中,1,0393,41039301,41039336,36
2502,(二)國立華僑高中,1,0394,41039401,41039436,36
2502,(二)國立華僑高中,1,0395,41039501,41039536,36
2502,(二)國立華僑高中,1,0396,41039601,41039636,36
2502,(二)國立華僑高中,1,0397,41039701,41039736,36
2502,(二)國立華僑高中,1,0398,41039801,41039836,36
2502,(二)國立華僑高中,1,0399,41039901,41039936,36
2502,(二)國立華僑高中,1,0400,41040001,41040036,36
2502,(二)國立華僑高中,1,0401,41040101,41040136,36
2502,(二)國立華僑高中,1,0402,41040201,41040236,36
2502,(二)國立華僑高中,1,0403,41040301,41040336,36
2502,(二)國立華僑高中,1,0404,41040401,41040436,36
2502,(二)國立華僑高中,2,0370,42037001,42037036,36
2502,(二)國立華僑高中,2,0371,42037101,42037136,36
2502,(二)國立華僑高中,2,0372,42037201,42037236,36
2502,(二)國立華僑高中,2,0373,42037301,42037336,36
2502,(二)國立華僑高中,2,0374,42037401,42037436,36
2502,(二)國立華僑高中,2,0375,42037501,42037536,36
2502,(二)國立華僑高中,2,0376,42037601,42037636,36
2502,(二)國立華僑高中,2,0377,42037701,42037736,36
2502,(二)國立華僑高中,2,0378,42037801,42037836,36
2502,(二)國立華僑高中,2,0379,42037901,42037936,36
2502,(二)國立華僑高中,2,0380,42038001,42038036,36
2502,(二)國立華僑高中,2,0381,42038101,42038136,36
2502,(二)國立華僑高中,2,0382,42038201,42038236,36
2502,(二)國立華僑高中,2,0383,42038301,42038336,36
2502,(二)國立華僑高中,2,0384,42038401,42038436,36
2502,(二)國立華僑高中,2,0385,42038501,42038536,36
2502,(二)國立華僑高中,2,0386,42038601,42038636,36
2502,(二)國立華僑高中,2,0387,42038701,42038736,36
2502,(二)國立華僑高中,2,0388,42038801,42038836,36
2502,(二)國立華僑高中,2,0389,42038901,42038936,36
2502,(二)國立華僑高中,2,0390,42039001,42039036,36
2502,(二)國立華僑高中,2,0391,42039101,42039136,36
2502,(二)國立華僑高中,2,0392,42039201,42039236,36
2502,(二)國立華僑高中,2,0393,42039301,42039336,36
2502,(二)國立華僑高中,2,0394,42039401,42039436,36
2502,(二)國立華僑高中,2,0395,42039501,42039536,36
2502,(二)國立華僑高中,2,0396,42039601,42039636,36
2502,(二)國立華僑高中,2,0397,42039701,42039736,36
2502,(二)國立華僑高中,2,0398,42039801,42039836,36
2502,(二)國立華僑高中,2,0399,42039901,42039936,36
2502,(二)國立華僑高中,2,0400,42040001,42040036,36
2502,(二)國立華僑高中,2,0401,42040101,42040136,36
2502,(二)國立華僑高中,2,0402,42040201,42040236,36
2502,(二)國立華僑高中,2,0403,42040301,42040336,36
2502,(二)國立華僑高中,2,0404,42040401,42040436,36
2503,(三)新北市立新莊高中,1,0405,41040501,41040536,36
2503,(三)新北市立新莊高中,1,0406,41040601,41040636,36
2503,(三)新北市立新莊高中,1,0407,41040701,41040736,36
2503,(三)新北市立新莊高中,1,0408,41040801,41040836,36
2503,(三)新北市立新莊高中,1,0409,41040901,41040936,36
2503,(三)新北市立新莊高中,1,0410,41041001,41041036,36
2503,(三)新北市立新莊高中,1,0411,41041101,41041136,36
2503,(三)新北市立新莊高中,1,0412,41041201,41041236,36
2503,(三)新北市立新莊高中,1,0413,41041301,41041336,36
2503,(三)新北市立新莊高中,1,0414,41041401,41041436,36
2503,(三)新北市立新莊高中,1,0415,41041501,41041536,36
2503,(三)新北市立新莊高中,1,0416,41041601,41041636,36
2503,(三)新北市立新莊高中,1,0417,41041701,41041736,36
2503,(三)新北市立新莊高中,1,0418,41041801,41041836,36
2503,(三)新北市立新莊高中,1,0419,41041901,41041936,36
2503,(三)新北市立新莊高中,1,0420,41042001,41042036,36
2503,(三)新北市立新莊高中,1,0421,41042101,41042136,36
2503,(三)新北市立新莊高中,1,0422,41042201,41042236,36
2503,(三)新北市立新莊高中,1,0423,41042301,41042336,36
2503,(三)新北市立新莊高中,1,0424,41042401,41042436,36
2503,(三)新北市立新莊高中,1,0425,41042501,41042536,36
2503,(三)新北市立新莊高中,1,0426,41042601,41042636,36
2503,(三)新北市立新莊高中,1,0427,41042701,41042736,36
2503,(三)新北市立新莊高中,1,0428,41042801,41042836,36
2503,(三)新北市立新莊高中,1,0429,41042901,41042936,36
2503,(三)新北市立新莊高中,1,0430,41043001,41043036,36
2503,(三)新北市立新莊高中,1,0431,41043101,41043136,36
2503,(三)新北市立新莊高中,1,0432,41043201,41043236,36
2503,(三)新北市立新莊高中,1,0433,41043301,41043336,36
2503,(三)新北市立新莊高中,1,0434,41043401,41043436,36
2503,(三)新北市立新莊高中,1,0435,41043501,41043536,36
2503,(三)新北市立新莊高中,1,0436,41043601,41043636,36
2503,(三)新北市立新莊高中,1,0437,41043701,41043736,36
2503,(三)新北市立新莊高中,1,0438,41043801,41043836,36
2503,(三)新北市立新莊高中,1,0439,41043901,41043936,36
2503,(三)新北市立新莊高中,1,0440,41044001,41044036,36
2503,(三)新北市立新莊高中,1,0441,41044101,41044136,36
2503,(三)新北市立新莊高中,1,0442,41044201,41044236,36
2503,(三)新北市立新莊高中,1,0443,41044301,41044336,36
2503,(三)新北市立新莊高中,1,0444,41044401,41044436,36
2503,(三)新北市立新莊高中,1,0445,41044501,41044536,36
2503,(三)新北市立新莊高中,1,0446,41044601,41044636,36
2503,(三)新北市立新莊高中,1,0447,41044701,41044736,36
2503,(三)新北市立新莊高中,1,0448,41044801,41044841,41
2503,(三)新北市立新莊高中,1,9010,41901001,41901005,5
2503,(三)新北市立新莊高中,2,0405,42040501,42040536,36
2503,(三)新北市立新莊高中,2,0406,42040601,42040636,36
2503,(三)新北市立新莊高中,2,0407,42040701,42040736,36
2503,(三)新北市立新莊高中,2,0408,42040801,42040836,36
2503,(三)新北市立新莊高中,2,0409,42040901,42040936,36
2503,(三)新北市立新莊高中,2,0410,42041001,42041036,36
2503,(三)新北市立新莊高中,2,0411,42041101,42041136,36
2503,(三)新北市立新莊高中,2,0412,42041201,42041236,36
2503,(三)新北市立新莊高中,2,0413,42041301,42041336,36
2503,(三)新北市立新莊高中,2,0414,42041401,42041436,36
2503,(三)新北市立新莊高中,2,0415,42041501,42041536,36
2503,(三)新北市立新莊高中,2,0416,42041601,42041636,36
2503,(三)新北市立新莊高中,2,0417,42041701,42041736,36
2503,(三)新北市立新莊高中,2,0418,42041801,42041836,36
2503,(三)新北市立新莊高中,2,0419,42041901,42041936,36
2503,(三)新北市立新莊高中,2,0420,42042001,42042036,36
2503,(三)新北市立新莊高中,2,0421,42042101,42042136,36
2503,(三)新北市立新莊高中,2,0422,42042201,42042236,36
2503,(三)新北市立新莊高中,2,0423,42042301,42042336,36
2503,(三)新北市立新莊高中,2,0424,42042401,42042436,36
2503,(三)新北市立新莊高中,2,0425,42042501,42042536,36
2503,(三)新北市立新莊高中,2,0426,42042601,42042636,36
2503,(三)新北市立新莊高中,2,0427,42042701,42042736,36
2503,(三)新北市立新莊高中,2,0428,42042801,42042836,36
2503,(三)新北市立新莊高中,2,0429,42042901,42042936,36
2503,(三)新北市立新莊高中,2,0430,42043001,42043036,36
2503,(三)新北市立新莊高中,2,0431,42043101,42043136,36
2503,(三)新北市立新莊高中,2,0432,42043201,42043236,36
2503,(三)新北市立新莊高中,2,0433,42043301,42043336,36
2503,(三)新北市立新莊高中,2,0434,42043401,42043436,36
2503,(三)新北市立新莊高中,2,0435,42043501,42043536,36
2503,(三)新北市立新莊高中,2,0436,42043601,42043636,36
2503,(三)新北市立新莊高中,2,0437,42043701,42043736,36
2503,(三)新北市立新莊高中,2,0438,42043801,42043836,36
2503,(三)新北市立新莊高中,2,0439,42043901,42043936,36
2503,(三)新北市立新莊高中,2,0440,42044001,42044036,36
2503,(三)新北市立新莊高中,2,0441,42044101,42044136,36
2503,(三)新北市立新莊高中,2,0442,42044201,42044236,36
2503,(三)新北市立新莊高中,2,0443,42044301,42044336,36
2503,(三)新北市立新莊高中,2,0444,42044401,42044436,36
2503,(三)新北市立新莊高中,2,0445,42044501,42044536,36
2503,(三)新北市立新莊高中,2,0446,42044601,42044636,36
2503,(三)新北市立新莊高中,2,0447,42044701,42044736,36
2503,(三)新北市立新莊高中,2,0448,42044801,42044840,40
2503,(三)新北市立新莊高中,2,9010,42901001,42901004,4
